NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TPG
Jack White,Denver Nuggets,F,25.7,16,3.2,15.6,3,0.667,8,0.5,8,0.375,1.2,0.6,0.2,0.1,0.1,0.1
Kessler Edwards,Brooklyn Nets,F,22.7,14,5.7,16.1,2,0.5,12,0.333,12,0.167,1.1,1,0.1,0.2,0.1,0.3
Bruno Fernando,Atlanta Hawks,F-C,24.7,7,2.8,25.3,2,1,7,0.429,1,0,1.1,0.7,0.1,0,0.3,0.4
Tyrese Martin,Atlanta Hawks,G,24.1,15,3.3,16,2,1,12,0.5,5,0.2,1.1,0.4,0.1,0.1,0,0.1
Noah Vonleh,Boston Celtics,F,27.6,23,7.5,9.1,2,1,20,0.5,4,0.25,1.1,2.1,0.3,0.1,0.3,0.5
Joe Wieskamp,Toronto Raptors,G-F,23.6,8,4.3,11.2,0,0,1,0,7,0.429,1.1,0.4,0.1,0,0,0.1
Vince Williams Jr.,Memphis Grizzlies,G,22.6,14,4,14.7,0,0,5,0.6,14,0.214,1.1,0.5,0.2,0.3,0.1,0.1
Thanasis Antetokounmpo,Milwaukee Bucks,F,30.7,36,5,13.2,14,0.357,31,0.516,7,0,1,1.1,0.3,0.1,0.1,0.3
JD Davison,Boston Celtics,G,20.5,11,2.8,21.3,0,0,9,0.444,4,0.25,1,0.5,0.7,0.2,0,0.2
Malcolm Hill,Chicago Bulls,F,27.5,5,1.8,19.4,0,0,1,1,3,0.333,1,0.6,0,0,0,0
Trevor Keels,New York Knicks,G,19.6,3,2.7,21.5,0,0,0,0,4,0.25,1,0.7,0,0,0,0
Chicago Bullsma Moneke,Sacramento Kings,F,27.3,2,4,26.5,2,0,2,0.5,0,0,1,1,0.5,0,0,1
Davon Reed,Los Angeles Lakers,G,27.8,8,3.4,9,4,0.25,2,1,2,0.5,1,0.5,0.5,0.3,0,0
Nerlens Noel,Brooklyn Nets,C-F,29,3,14.4,12.2,2,0.5,6,0.167,0,0,1,3,1,1,0.3,1.7
Justin Jackson,Boston Celtics,F,28,23,4.7,12.2,2,0.5,7,0.286,20,0.25,0.9,0.7,0.4,0.2,0.2,0.1
Dereon SeaBrooklyn Netsn,New Orleans Pelicans,G,22.9,5,2.3,18.5,0,0,5,0.4,0,0,0.8,0.2,0,0,0,0
Mfiondu Kabengele,Boston Celtics,F-C,25.7,3,5.8,10,0,0,2,0.5,1,0,0.7,2,0,0,0,0.3
Vernon Carey Jr.,Washington Wizards,F-C,22.1,11,2.6,16.6,2,1,8,0.25,0,0,0.5,1,0.3,0.2,0.2,0.2
Devon Dotson,Washington Wizards,G,23.7,6,8.9,9.8,0,0,6,0,3,0.333,0.5,1.7,1.3,0.8,0,0.5
Udonis Haslem,Miami Heat,F,42.8,6,7.6,12.6,2,0.5,10,0.1,2,0,0.5,1.3,0,0.2,0.2,0
Leandro Bolmaro,Utah Jazz,F,22.6,14,4.9,15.9,0,0,15,0.2,4,0,0.4,0.5,0.5,0.1,0.1,0.5
Isaiah Todd,Washington Wizards,F,21.5,5,3.2,16.3,0,0,2,0.5,3,0,0.4,0,0,0,0,0.2
Ryan Arcidiacono,New York Knicks,G,29,11,2.4,9.8,0,0,2,0,3,0.333,0.3,0.4,0.2,0.2,0,0.1
